Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Bakersfield College,6989,6930,6390,CA,1,1,1,5,Bakersfield College,-118.973753,35.409110,,,24569,32519,6830,14780,,,23720,32210,6661,15151,,,,,22175,28587,7986,14398,4409,,,20578,26514,7553,13489,,,20713,26649,7553,13489,,,19767,26263,7140,13636,1125,1080,1971,1854,1854,1791,1710,
Baltimore City Community College,6701,6456,6231,MD,4,2,1,2,Baltimore City Community College,-76.662878,39.319978,,,16629,20709,9336,13416,,,16629,20709,9336,13416,,,,,16629,20709,9336,13416,6434,,,15111,19191,8579,12659,,,15039,19119,8317,12397,,,14494,17986,7798,11290,2500,2500,2500,2400,2300,2300,2000,
Baptist Health College Little Rock,,,,AR,5,2,1,1,Baptist Health College Little Rock,-92.406920,34.713115,,,35567,35567,23937,23937,,,33583,33583,23149,23149,20593,19398,,,30330,30330,22126,22126,,,,31544,31544,22081,22081,,,30782,30782,21319,21319,,,29622,29622,20088,20088,2525,2525,2525,3250,3060,2425,2150,
Baptist University of the Americas,,,,TX,2,1,1,1,Baptist University of the Americas,-98.546081,29.349980,16138,16138,17498,17498,8868,8868,15850,15850,17210,17210,8580,8580,10039,11443,15850,15850,17210,17210,8580,8580,,16210,16210,16970,16970,8340,8340,16210,16210,16970,16970,8340,8340,15610,15610,16970,16970,8340,8340,600,600,600,600,600,600,600,
Bard College at Simon's Rock,,,,MA,2,1,1,1,Bard College at Simon's Rock,-73.379201,42.208803,82201,82201,82201,82201,65583,65583,79071,79071,79071,79071,63169,63169,40985,40387,74264,74264,74264,74264,58901,58901,,71998,71998,71998,71998,57082,57082,69900,69900,69900,69900,55418,55418,68930,68930,68930,68930,54870,54870,1000,1000,1000,1000,1000,1000,1000,
Barnard College,,,,NY,2,1,1,2,Barnard College,-73.963346,40.810098,80693,80693,80693,80693,62207,62207,77855,77855,75690,75690,59999,59999,26681,23736,78044,78044,78044,78044,60188,60188,,74777,74777,74777,74777,57552,57552,71282,71282,71282,71282,55182,55182,68512,68512,68512,68512,52914,52914,1150,1150,1150,1150,1150,1150,1150,
Barstow Community College,9756,9915,10601,CA,4,2,1,2,Barstow Community College,-117.023412,34.870285,,,24243,32091,6504,14352,,,24619,31603,7560,14544,,,,,23755,30115,8095,14455,9312,,,21424,27040,7771,13387,,,20490,26106,7332,12948,,,19545,24609,7179,12243,1125,2293,2293,2293,1854,1791,1791,
Barton County Community College,10149,8008,9676,KS,4,2,1,2,Barton County Community College,-98.731648,38.403529,18556,19324,18556,19324,9476,10244,18466,19234,18466,19234,9476,10244,,,17918,18558,17918,18558,9258,9898,9519,17594,17594,17594,17594,9194,9194,16936,16936,16936,16936,8876,8876,16726,17718,16726,17718,8723,9715,1460,1460,1440,1420,1390,1364,1328,
Bates College,,,,ME,2,1,1,2,Bates College,-70.203333,44.105299,77870,77870,,,,,75680,75680,,,,,25113,23312,73538,73538,,,,,,71168,71168,,,,,68870,68870,,,,,66550,66550,,,,,900,900,900,900,900,800,800,
Bates Technical College,8594,6869,5522,WA,4,2,1,2,Bates Technical College,-122.446830,47.251743,,,24992,31759,11507,18274,,,22733,32358,11239,20864,,,,,20507,29537,10637,19667,3913,,,17734,23232,9710,15208,,,19087,24505,9127,14545,,,18871,24278,8675,14082,1151,1041,1030,925,1020,1010,1150,
Baton Rouge Community College,9776,9433,9279,LA,4,2,1,3,Baton Rouge Community College,-91.137935,30.448276,,,20643,20643,10711,10711,,,20476,24554,10681,14759,,,,,20227,24305,10571,14649,8302,,,19831,23909,10401,14479,,,18733,22811,9479,13557,,,18433,22511,9360,13438,1300,1300,1220,1300,1300,1220,1200,
Bay de Noc Community College,9072,7766,8140,MI,4,2,1,2,Bay de Noc Community College,-87.085228,45.772586,21090,22680,21090,22680,13590,15180,20820,22350,20820,22350,13320,14850,,,20360,21830,20360,21830,12960,14430,8044,20348,21758,20348,21758,12948,14358,19166,20516,19166,20516,12658,14008,17286,22176,17286,22176,11156,16046,1500,1500,1500,1800,1800,1200,1200,
Bay Mills Community College,6642,7808,8428,MI,1,1,1,1,Bay Mills Community College,-84.607089,46.454584,,,15242,15242,7422,7422,,,15242,15242,7422,7422,,,,,15242,15242,7422,7422,5573,,,14962,14962,7142,7142,,,14962,14962,7142,7142,,,14962,14962,7142,7142,700,700,700,700,700,700,700,
Bay State College,,,,MA,3,1,1,1,Bay State College,-71.071615,42.350966,53142,53142,55441,55441,39842,39842,50500,50500,50500,50500,38700,38700,32761,31792,44800,44800,44800,44800,33000,33000,,43620,43620,43620,43620,31820,31820,43320,43320,43320,43320,31820,31820,43320,43320,43320,43320,31820,31820,1000,1500,1500,1500,1500,1000,1500,
Be'er Yaakov Talmudic Seminary,,,,NY,2,1,1,1,Be'er Yaakov Talmudic Seminary,-74.029573,41.138206,19390,19390,34140,34140,17589,17589,18360,18360,30360,30360,16559,16559,2030,4262,18350,18350,30150,30150,16349,16349,,18070,18070,28434,28434,16020,16020,17700,17700,27140,27140,15100,15100,17540,17540,26614,26614,14940,14940,250,250,240,240,240,200,200,
Beacon College,,,,FL,2,1,1,1,Beacon College,-81.874150,28.811281,65020,65020,63455,63455,48306,48306,62816,62816,61820,61820,47837,47837,42594,41925,59926,59926,58930,58930,45817,45817,,57506,57506,56510,56510,43953,43953,55958,55958,54982,54982,42725,42725,53722,53722,52782,52782,41032,41032,1000,1000,1000,1000,1000,1000,1000,
Beaufort County Community College,6704,7204,7644,NC,4,2,1,2,Beaufort County Community College,-76.965350,35.533587,,,16786,22930,12010,18154,,,16786,22930,12100,18244,,,,,16786,22930,12100,18244,10203,,,16786,22930,12100,18244,,,17374,23518,12754,18898,,,17832,23976,13035,19179,1930,1930,1930,1930,1930,1900,1706,
Beckfield College-Florence,,,,KY,3,1,1,1,Beckfield College-Florence,-84.641475,39.017166,,,36886,36886,20470,20470,,,36886,36886,20470,20470,20252,21385,,,35808,35808,20355,20355,,,,35808,35808,20355,20355,,,35808,35808,20355,20355,,,35029,35029,20341,20341,2000,2000,2000,2000,2000,2000,2000,
Bel-Rea Institute of Animal Technology,,,,CO,6,2,1,1,Bel-Rea Institute of Animal Technology,-104.876207,39.686194,,,31399,31399,19402,19402,,,30924,30924,19332,19332,17952,21677,,,30815,30815,18863,18863,,,,30299,30299,17834,17834,,,28713,28713,17373,17373,,,27797,27797,17951,17951,917,892,909,949,964,948,1052,
Belanger School of Nursing,,,,NY,5,2,1,1,Belanger School of Nursing,-73.915884,42.802979,,,20764,20764,15714,15714,,,21014,21014,15714,15714,,,,,21656,21656,16356,16356,,,,21723,21723,16423,16423,,,22214,22214,16914,16914,,,21445,21445,16145,16145,1850,1850,2700,2700,2700,2600,2600,
Bellevue College,9801,9536,8828,WA,1,1,1,4,Bellevue College,-122.150118,47.584014,22433,27970,20047,25584,8272,13809,22132,27523,19720,25111,8104,13495,,,21296,26676,19136,24516,7886,13266,8011,20584,25950,18598,23964,7678,13044,,,18249,23602,7509,12862,,,18000,23344,7399,12743,942,930,900,870,840,825,1050,
Bellingham Technical College,3799,-1471,6787,WA,1,1,1,2,Bellingham Technical College,-122.512160,48.766189,,,19121,20344,8219,9442,,,18819,19815,8073,9069,,,,,18714,19687,8094,9067,7708,,,17940,18887,7950,8897,,,17801,18727,7811,8737,,,17734,23079,7744,13089,942,1080,1080,1080,1080,1080,1080,
Belmont College,5691,5987,6194,OH,4,2,1,1,Belmont College,-80.964901,40.076950,,,12146,14648,9002,11504,,,12026,14528,8882,11384,,,,,11906,14384,8762,11240,4973,,,12118,14802,8974,11658,,,11059,13538,7915,10394,,,11059,13538,7915,10394,1200,1200,1200,1200,910,910,910,
Beloit College,,,,WI,2,1,1,2,Beloit College,-89.029285,42.504022,67136,67136,66150,66150,57108,57108,65430,65430,66322,66322,55742,55742,25980,26976,63514,63514,64248,64248,53884,53884,,61584,61584,62586,62586,52754,52754,59442,59442,59450,59450,51006,51006,57506,57506,54610,54610,49360,49360,1032,1018,1000,1400,1000,1000,1000,
Benjamin Franklin Institute of Technology,,,,MA,2,1,1,1,Benjamin Franklin Institute of Technology,-71.070231,42.346023,,,35250,35250,21750,21750,,,35250,35250,21750,21750,12630,13550,,,34450,34450,20950,20950,,40850,40850,27350,27350,20550,20550,40250,40250,27250,27250,20450,20450,35115,35115,26865,26865,20065,20065,1600,1600,1600,1000,1000,900,900,
Bennett College,,,,NC,2,1,1,1,Bennett College,-79.779980,36.067531,35872,35872,35872,35872,27272,27272,34917,34917,34917,34917,26803,26803,18772,22763,34917,34917,34917,34917,26803,26803,,32817,32817,32817,32817,22828,22828,32817,32817,32817,32817,22828,22828,33170,33170,33170,33170,23181,23181,1400,1400,1400,1400,1400,1400,1400,
Berea College,,,,KY,2,1,1,2,Berea College,-84.292893,37.572020,54396,54396,54396,54396,46912,46912,55656,55656,55656,55656,48392,48392,1196,1680,54866,54866,54866,54866,47900,47900,,49854,49854,49854,49854,43090,43090,35394,35394,35394,35394,28860,28860,35042,35042,35042,35042,28570,28570,700,700,700,700,700,700,700,
Bergen Community College,9138,9223,8614,NJ,4,2,1,4,Bergen Community College,-74.088804,40.951782,,,26861,27239,13681,14059,,,26861,27239,13681,14059,,,,,26861,27239,14081,14459,6152,,,26254,26626,13474,13846,,,26146,26438,13366,13658,,,25978,26338,13198,13558,1400,1400,1400,1400,1400,1400,1400,
Berkeley City College,13556,10529,11856,CA,4,2,1,3,Berkeley City College,-122.269877,37.869769,,,31921,38281,9855,16215,,,31940,38300,9874,16234,,,,,25350,31878,10266,16794,8908,,,23162,29714,9382,15934,,,20886,26766,7593,13473,,,19984,25648,7484,13148,1971,1971,1971,1918,1854,1792,1764,
Berkeley College-New York,,,,NY,3,1,1,2,Berkeley College-New York,-73.979458,40.753986,,,40206,40206,33606,33606,,,39360,39360,32960,32960,20513,22269,,,38116,38116,32116,32116,,,,37516,37516,31516,31516,,,41894,41894,30916,30916,,,40644,40644,29666,29666,,,,,,0,900,
Berkshire Community College,9857,8324,8793,MA,4,2,1,2,Berkshire Community College,-73.314704,42.459750,,,22892,28920,11972,18000,,,22892,28920,11972,18000,,,,,22892,28920,11972,18000,8578,,,22556,28132,11756,17332,,,21868,27484,11314,16930,,,21357,26973,10989,16605,1200,1200,1200,1200,1038,1035,1009,
Bet Medrash Gadol Ateret Torah,,,,NY,2,1,1,1,Bet Medrash Gadol Ateret Torah,-73.969945,40.607809,17800,17800,29450,29450,16000,16000,17650,17650,29036,29036,15850,15850,5205,5542,17650,17650,28610,28610,15850,15850,,17710,17710,28264,28264,15850,15850,17100,17100,27540,27540,15500,15500,16800,16800,26674,26674,15000,15000,200,200,200,200,200,200,200,
Beth Hamedrash Shaarei Yosher Institute,,,,NY,2,1,1,1,Beth Hamedrash Shaarei Yosher Institute,-73.981202,40.635444,19150,19150,30250,30250,16800,16800,18500,18500,29336,29336,16150,16150,4814,5267,18000,18000,28410,28410,15650,15650,,17500,17500,27564,27564,15150,15150,17300,17300,26990,26990,14950,14950,17000,17000,26324,26324,14650,14650,200,200,200,200,200,200,200,
Beth Medrash Meor Yitzchok,,,,NY,2,1,1,1,Beth Medrash Meor Yitzchok,-74.060843,41.100906,22000,22000,30650,30650,17200,17200,21000,21000,29386,29386,16200,16200,11712,9643,20950,20950,28910,28910,16150,16150,,20150,20150,27764,27764,15350,15350,,,26940,26940,14900,14900,18100,18100,25574,25574,13900,13900,200,200,200,200,200,200,200,
Beth Medrash of Asbury Park,,,,NJ,2,1,1,1,Beth Medrash of Asbury Park,-74.210816,40.043705,19300,19300,31600,31600,18150,18150,19300,19300,31336,31336,18150,18150,7512,11357,19300,19300,30910,30910,18150,18150,,18940,18940,30564,30564,18150,18150,16300,16300,27190,27190,15150,15150,16300,16300,26824,26824,15150,15150,200,200,200,200,200,200,200,
Bethany College,,,,KS,2,1,1,1,Bethany College,-97.673670,38.580598,51560,51560,,,,,50240,50240,44860,44860,38330,38330,22583,23856,49594,49594,43294,43294,36814,36814,,45019,45019,40994,40994,34714,34714,42963,42963,39042,39042,32888,32888,42090,42090,38630,38630,32490,32490,870,860,810,625,600,600,600,
Bethel College-North Newton,,,,KS,2,1,1,1,Bethel College-North Newton,-97.343256,38.075169,46831,46831,53113,53113,39276,39276,45731,45731,51363,51363,37526,37526,22211,21519,44003,44003,53298,53298,36401,36401,,42765,42765,43420,43420,34420,34420,42040,42040,42850,42850,33850,33850,40611,40611,41901,41901,32401,32401,700,700,700,750,1000,1000,1000,
Beverly Hills Design Institute,,,,CA,3,1,1,1,Beverly Hills Design Institute,-118.375621,34.064630,,,39471,39471,26520,26520,,,39471,39471,26520,26520,,27181,,,39471,39471,26520,26520,,,,39471,39471,26520,26520,,,39471,39471,26520,26520,,,39471,39471,26520,26520,2400,2400,2400,2400,2400,2400,2400,
Bevill State Community College,8762,8978,8328,AL,4,2,1,2,Bevill State Community College,-87.266406,33.836929,16806,20742,20752,24688,13102,17038,16806,21062,20752,25008,13102,17358,,,16742,20934,19988,24180,12338,16530,7379,16678,20806,19024,23152,11374,15502,15716,19524,18626,22434,10046,13854,15360,18870,18270,21780,9690,13200,1400,1400,1400,1400,1200,1200,1200,
Big Bend Community College,7791,8215,6880,WA,1,1,1,2,Big Bend Community College,-119.325678,47.183651,17799,18268,20154,20623,9252,9721,17468,17929,19790,20251,9044,9505,,,16951,17400,19171,19620,8401,8850,7152,15981,16393,18531,18943,8061,8473,15729,16176,18249,18696,7959,8406,15488,15902,17813,18227,7769,8183,942,930,900,870,840,825,1050,
Big Sandy Community and Technical College,4859,4463,5594,KY,4,2,1,2,Big Sandy Community and Technical College,-82.778847,37.688248,,,16142,26894,8634,19386,,,15584,26336,8434,19186,,,,,15193,25633,8218,18658,5233,,,15073,25225,8098,18250,,,14905,24625,7930,17650,,,14762,24122,7786,17146,1078,1026,1000,1000,1000,1000,1000,
Birmingham-Southern College,,,,AL,2,1,1,2,Birmingham-Southern College,-86.850552,33.513774,37470,37470,33790,33790,25790,25790,35830,35830,32850,32850,24850,24850,26863,23846,35090,35090,32188,32188,24188,24188,,34400,34400,31400,31400,23400,23400,52414,52414,49564,49564,41564,41564,50400,50400,47980,47980,39980,39980,1000,1260,1260,1260,1260,1260,1260,
Bishop State Community College,3698,4868,5735,AL,4,2,1,2,Bishop State Community College,-88.056982,30.693972,,,16010,19700,9560,13250,,,13560,17550,9560,13550,,,,,12740,16610,9740,13610,4768,,,12740,16610,9740,13610,,,12440,16010,9440,13010,,,12380,16070,9380,13070,2000,2000,1500,1500,1500,1500,1500,
Bismarck State College,10249,10350,9016,ND,1,1,1,2,Bismarck State College,-100.816534,46.821459,16883,18887,16883,18887,9426,11430,16334,18260,16334,18260,9231,11157,,,15395,17055,15395,17055,8660,10320,9258,14676,16272,14676,16272,8392,9988,16008,21072,15224,20288,8232,13296,15559,20428,15151,20020,8159,13028,1100,1100,1100,1000,1000,1100,1200,
Black Hawk College,4807,5742,6206,IL,4,2,1,2,Black Hawk College,-90.447799,41.477283,,,20550,20700,13736,13886,,,20502,20652,13337,13487,,,,,20197,20347,13200,13350,5764,,,19938,20088,13084,13234,,,19811,19961,13027,13177,,,19649,19799,12973,13123,1148,1141,1114,1092,1081,1071,1060,
Black River Technical College,8133,5307,5802,AR,4,2,1,2,Black River Technical College,-90.951033,36.239793,,,16818,19050,11337,13569,,,16477,18709,11151,13383,,,,,15532,17764,10206,12438,5993,,,15342,17622,10161,12441,,,14550,16878,9471,11799,,,14941,17341,9877,12277,2696,2568,2565,2568,1926,2561,2328,
Blackburn College,,,,IL,2,1,1,1,Blackburn College,-89.870241,39.287896,37150,37150,39230,39230,30930,30930,35200,35200,32400,32400,26500,26500,16228,12037,33260,33260,30960,30960,25060,25060,,31990,31990,29860,29860,23960,23960,31302,31302,29442,29442,23542,23542,30176,30176,28612,28612,22712,22712,400,700,400,700,700,700,700,
Blackfeet Community College,,,,MT,5,2,1,1,Blackfeet Community College,-113.009387,48.551927,,,20513,20513,11405,11405,,,20273,20273,12440,12440,8875,7230,20660,20660,20273,20273,12440,12440,,20660,20660,20273,20273,12440,12440,20396,20396,20396,20396,12563,12563,19793,19793,19793,19793,11960,11960,1300,1300,1300,1300,1300,1300,1200,
Blackhawk Technical College,9650,7461,7940,WI,4,2,1,2,Blackhawk Technical College,-89.016254,42.593159,,,18112,20227,10268,12383,,,17967,20050,10331,12414,,,,,15645,18002,9850,12207,7771,,,15430,17713,9635,11918,,,15352,17335,9557,11540,,,15011,16966,9216,11171,1939,1973,1784,1784,1765,1665,1665,
Bladen Community College,7376,7516,7502,NC,4,2,1,2,Bladen Community College,-78.731119,34.644691,,,17158,23302,8958,15102,,,17158,23302,8958,15102,,,,,17008,23152,8808,14952,11467,,,16982,23126,8782,14926,,,16982,23126,8782,14926,,,16978,23122,8778,14922,2000,2000,1850,1850,1850,1850,1850,
Blinn College,13748,12530,13400,TX,4,2,1,4,Blinn College,-96.408520,30.160457,21323,26093,23034,27804,12898,17668,21333,26103,24294,29064,12838,17608,,,20109,23949,21456,25296,11910,15750,11525,20058,23898,22297,26137,11955,15795,18782,22574,22124,25916,11782,15574,18242,21914,21632,25304,11392,15064,1200,1200,1668,1665,1636,1620,1396,
Blue Mountain Community College,13308,11805,11579,OR,4,2,1,2,Blue Mountain Community College,-118.816944,45.677313,,,19726,22246,10568,13088,,,19385,21860,10227,12702,,,,,19308,21738,10150,12580,10107,,,18895,29028,9566,19699,,,18627,27897,9740,19010,,,17291,28355,8666,19730,1053,1053,1053,1053,1039,1038,1364,
Blue Ridge Community and Technical College,6013,5896,5369,WV,4,2,1,2,Blue Ridge Community and Technical College,-78.001918,39.435290,,,15144,18480,8596,11932,,,15170,18506,8596,11932,,,,,16008,19344,8493,11829,7336,,,16439,19775,8416,11752,,,16421,19685,8249,11513,,,15478,18598,9073,12193,1460,1460,1440,1420,1390,1364,1270,
Blue Ridge Community College,8783,7924,7725,NC,4,2,1,2,Blue Ridge Community College,-82.425544,35.308040,,,18582,24726,9042,15186,,,18821,24965,9431,15575,,,,,18811,24955,9631,15775,8143,,,18649,24793,9579,15723,,,18048,24192,9165,15309,,,17961,24105,9105,15249,1682,2050,2284,2450,2104,1912,1494,
Blue Ridge Community College,9182,9942,10534,VA,4,2,1,2,Blue Ridge Community College,-78.937471,38.279075,,,23995,29998,14120,20123,,,23995,29998,14120,20123,,,,,23995,29998,14120,20123,8038,,,23552,29480,13912,19840,,,23082,29010,13632,19560,,,18032,23930,11432,17330,1358,1358,1358,1326,1300,1300,1300,
Bluefield State College,11309,11451,8445,WV,1,1,1,2,Bluefield State College,-81.239037,37.265732,22971,30169,22971,30169,13571,20769,,,24680,31544,13880,20744,,,,,24488,31352,13888,20752,8560,,,23356,29836,13056,19536,,,23028,29332,12728,19032,,,22008,28476,12208,18676,1500,2200,2200,2000,2000,1800,1600,
